 [*] Waiting for messages. To exit press CTRL+C
{'id': '2', 'laps': '15', 'pos': '1'}
id:2, gps:(), lap:15, pos:1, speed:0.0
{'id': '7', 'laps': '15', 'pos': '2'}
id:7, gps:(), lap:15, pos:2, speed:0.0
{'id': '18', 'laps': '15', 'pos': '3'}
id:18, gps:(), lap:15, pos:3, speed:0.0
{'id': '16', 'laps': '15', 'pos': '4'}
id:16, gps:(), lap:15, pos:4, speed:0.0
{'id': '15', 'laps': '15', 'pos': '5'}
id:15, gps:(), lap:15, pos:5, speed:0.0
{'id': '12', 'laps': '14', 'pos': '6'}
id:12, gps:(), lap:14, pos:6, speed:0.0
{'id': '13', 'laps': '14', 'pos': '7'}
id:13, gps:(), lap:14, pos:7, speed:0.0
{'id': '11', 'laps': '14', 'pos': '8'}
id:11, gps:(), lap:14, pos:8, speed:0.0
{'id': '3', 'laps': '14', 'pos': '9'}
id:3, gps:(), lap:14, pos:9, speed:0.0
{'id': '10', 'laps': '14', 'pos': '10'}
id:10, gps:(), lap:14, pos:10, speed:0.0
{'id': '5', 'laps': '14', 'pos': '11'}
id:5, gps:(), lap:14, pos:11, speed:0.0
{'id': '6', 'laps': '14', 'pos': '12'}
id:6, gps:(), lap:14, pos:12, speed:0.0
{'id': '20', 'laps': '14', 'pos': '13'}
id:20, gps:(), lap:14, pos:13, speed:0.0
{'id': '1', 'laps': '14', 'pos': '14'}
id:1, gps:(), lap:14, pos:14, speed:0.0
{'id': '14', 'laps': '13', 'pos': '15'}
id:14, gps:(), lap:13, pos:15, speed:0.0
{'id': '19', 'laps': '13', 'pos': '16'}
id:19, gps:(), lap:13, pos:16, speed:0.0
{'id': '8', 'laps': '13', 'pos': '17'}
id:8, gps:(), lap:13, pos:17, speed:0.0
{'id': '17', 'laps': '13', 'pos': '18'}
id:17, gps:(), lap:13, pos:18, speed:0.0
{'id': '4', 'laps': '13', 'pos': '19'}
id:4, gps:(), lap:13, pos:19, speed:0.0
{'id': '9', 'laps': '13', 'pos': '20'}
id:9, gps:(), lap:13, pos:20, speed:0.0
id:88, gps:(0, 0), lap:0, pos:0, speed:0
id:31, gps:(0, 0), lap:0, pos:0, speed:0
id:8, gps:(0, 0), lap:0, pos:0, speed:0
id:8, gps:(37.40627, -122.0627), lap:0, pos:0, speed:8.12307071685791
id:8, gps:(37.3504, -122.057415), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.3504, -122.05755), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.3504, -122.05765), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.35039833333333, -122.05787166666667), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.3504, -122.05809333333333), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.3504, -122.058315), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.3504, -122.05856), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.3504, -122.05878166666666), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.3504, -122.05900333333334), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.3504, -122.059225), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.3504, -122.05944666666667), lap:0, pos:0, speed:19.610605239868164
id:8, gps:(37.3504, -122.05959), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35049, -122.0596), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35075, -122.0596), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.351011666666665, -122.0596), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.3513, -122.0596), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35141, -122.05959), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35149, -122.05958), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35155, -122.05955), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.3516, -122.05951), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35163, -122.05948), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35169, -122.05943), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35176, -122.05935), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35181, -122.0593), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35187, -122.05927), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35191833333333, -122.05925), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35197, -122.05925), lap:0, pos:0, speed:29.091808319091797
id:8, gps:(37.35205, -122.05924), lap:0, pos:0, speed:22.35259246826172
