{'id': '2', 'laps': '15', 'pos': '1'}
{'id': '7', 'laps': '15', 'pos': '2'}
{'id': '18', 'laps': '15', 'pos': '3'}
{'id': '16', 'laps': '15', 'pos': '4'}
{'id': '15', 'laps': '15', 'pos': '5'}
{'id': '12', 'laps': '14', 'pos': '6'}
{'id': '13', 'laps': '14', 'pos': '7'}
{'id': '11', 'laps': '14', 'pos': '8'}
{'id': '3', 'laps': '14', 'pos': '9'}
{'id': '10', 'laps': '14', 'pos': '10'}
{'id': '5', 'laps': '14', 'pos': '11'}
{'id': '6', 'laps': '14', 'pos': '12'}
{'id': '20', 'laps': '14', 'pos': '13'}
{'id': '1', 'laps': '14', 'pos': '14'}
{'id': '14', 'laps': '13', 'pos': '15'}
{'id': '19', 'laps': '13', 'pos': '16'}
{'id': '8', 'laps': '13', 'pos': '17'}
{'id': '17', 'laps': '13', 'pos': '18'}
{'id': '4', 'laps': '13', 'pos': '19'}
{'id': '9', 'laps': '13', 'pos': '20'}
